Date,Pixel,Easting (m),Northing (m),NDVI,Albedo,LAI,Ts (K),a,b
2023-10-15,Cold Pixel,338251.0,7988742.0,0.453,0.19,1.05,310.6,0.44298,-134.47315
2023-10-15,Hot Pixel,338130.0,7989040.0,0.132,0.25,0.37,315.62,0.44298,-134.47315
2024-01-11,Cold Pixel,338223.0,7988736.0,0.462,0.19,1.07,301.1,0.76675,-228.12974
2024-01-11,Hot Pixel,338132.0,7989070.0,0.079,0.23,0.26,305.15,0.76675,-228.12974
2024-01-27,Cold Pixel,338253.0,7988740.0,0.466,0.18,1.08,298.87,1.02572,-303.73992
2024-01-27,Hot Pixel,337643.0,7989277.0,0.081,0.24,0.26,301.84,1.02572,-303.73992
2024-02-04,Cold Pixel,338254.0,7988736.0,0.454,0.18,1.06,311.99,0.79543,-246.04394
2024-02-04,Hot Pixel,338137.0,7989047.0,0.121,0.25,0.35,315.96,0.79543,-246.04394
2024-02-20,Cold Pixel,338158.0,7988712.0,0.42,0.21,0.98,306.93,0.55514,-166.99927
2024-02-20,Hot Pixel,338009.0,7989192.0,0.191,0.26,0.49,309.6,0.55514,-166.99927
2024-03-15,Cold Pixel,338135.0,7988920.0,0.434,0.18,1.01,299.75,0.58046,-169.69951
2024-03-15,Hot Pixel,338186.0,7989004.0,0.078,0.23,0.25,302.24,0.58046,-169.69951
2024-04-16,Cold Pixel,338259.0,7988734.0,0.457,0.14,1.06,298.46,0.19917,-55.4568
2024-04-16,Hot Pixel,338157.0,7989038.0,0.068,0.22,0.23,303.73,0.19917,-55.4568
2024-04-24,Cold Pixel,338250.0,7988742.0,0.409,0.15,0.96,302.85,0.27828,-80.8086
2024-04-24,Hot Pixel,338186.0,7989005.0,0.081,0.24,0.26,306.43,0.27828,-80.8086
